buying,maint,persons,lug_boot,doors,safety,car,
vhigh,vhigh,2,small,2,low,unacceptable,]
vhigh,vhigh,2,small,2,med,unacceptable,
vhigh,vhigh,2,small,2,high,unacceptable,
vhigh,vhigh,2,med,2,low,unacceptable,
vhigh,vhigh,2,med,2,med,unacceptable,
vhigh,vhigh,2,med,2,high,unacceptable,
vhigh,vhigh,2,big,2,low,unacceptable,
vhigh,vhigh,2,big,2,med,unacceptable,
vhigh,vhigh,2,big,2,high,unacceptable,
vhigh,vhigh,4,small,2,low,unacceptable,
vhigh,vhigh,4,small,2,med,unacceptable,
vhigh,vhigh,4,small,2,high,unacceptable,
vhigh,vhigh,4,med,2,low,unacceptable,
vhigh,vhigh,4,med,2,med,unacceptable,
vhigh,vhigh,4,med,2,high,unacceptable,
vhigh,vhigh,4,big,2,low,unacceptable,
vhigh,vhigh,4,big,2,med,unacceptable,
vhigh,vhigh,4,big,2,high,unacceptable,
vhigh,vhigh,more,small,2,low,unacceptable,
vhigh,vhigh,more,small,2,med,unacceptable,
vhigh,vhigh,more,small,2,high,unacceptable,
vhigh,vhigh,more,med,2,low,unacceptable,
vhigh,vhigh,more,med,2,med,unacceptable,
vhigh,vhigh,more,med,2,high,unacceptable,
vhigh,vhigh,more,big,2,low,unacceptable,
vhigh,vhigh,more,big,2,med,unacceptable,
vhigh,vhigh,more,big,2,high,unacceptable,
vhigh,vhigh,2,small,3,low,unacceptable,
vhigh,vhigh,2,small,3,med,unacceptable,
vhigh,vhigh,2,small,3,high,unacceptable,
vhigh,vhigh,2,med,3,low,unacceptable,
vhigh,vhigh,2,med,3,med,unacceptable,
vhigh,vhigh,2,med,3,high,unacceptable,
vhigh,vhigh,2,big,3,low,unacceptable,
vhigh,vhigh,2,big,3,med,unacceptable,
vhigh,vhigh,2,big,3,high,unacceptable,
vhigh,vhigh,4,small,3,low,unacceptable,
vhigh,vhigh,4,small,3,med,unacceptable,
vhigh,vhigh,4,small,3,high,unacceptable,
vhigh,vhigh,4,med,3,low,unacceptable,
vhigh,vhigh,4,med,3,med,unacceptable,
vhigh,vhigh,4,med,3,high,unacceptable,
vhigh,vhigh,4,big,3,low,unacceptable,
vhigh,vhigh,4,big,3,med,unacceptable,
vhigh,vhigh,4,big,3,high,unacceptable,
vhigh,vhigh,more,small,3,low,unacceptable,
vhigh,vhigh,more,small,3,med,unacceptable,
vhigh,vhigh,more,small,3,high,unacceptable,
vhigh,vhigh,more,med,3,low,unacceptable,
vhigh,vhigh,more,med,3,med,unacceptable,
vhigh,vhigh,more,med,3,high,unacceptable,
vhigh,vhigh,more,big,3,low,unacceptable,
vhigh,vhigh,more,big,3,med,unacceptable,
vhigh,vhigh,more,big,3,high,unacceptable,
vhigh,vhigh,2,small,4,low,unacceptable,
vhigh,vhigh,2,small,4,med,unacceptable,
vhigh,vhigh,2,small,4,high,unacceptable,
vhigh,vhigh,2,med,4,low,unacceptable,
vhigh,vhigh,2,med,4,med,unacceptable,
vhigh,vhigh,2,med,4,high,unacceptable,
vhigh,vhigh,2,big,4,low,unacceptable,
vhigh,vhigh,2,big,4,med,unacceptable,
vhigh,vhigh,2,big,4,high,unacceptable,
vhigh,vhigh,4,small,4,low,unacceptable,
vhigh,vhigh,4,small,4,med,unacceptable,
vhigh,vhigh,4,small,4,high,unacceptable,
vhigh,vhigh,4,med,4,low,unacceptable,
vhigh,vhigh,4,med,4,med,unacceptable,
vhigh,vhigh,4,med,4,high,unacceptable,
vhigh,vhigh,4,big,4,low,unacceptable,
vhigh,vhigh,4,big,4,med,unacceptable,
vhigh,vhigh,4,big,4,high,unacceptable,
vhigh,vhigh,more,small,4,low,unacceptable,
vhigh,vhigh,more,small,4,med,unacceptable,
vhigh,vhigh,more,small,4,high,unacceptable,
vhigh,vhigh,more,med,4,low,unacceptable,
vhigh,vhigh,more,med,4,med,unacceptable,
vhigh,vhigh,more,med,4,high,unacceptable,
vhigh,vhigh,more,big,4,low,unacceptable,
vhigh,vhigh,more,big,4,med,unacceptable,
vhigh,vhigh,more,big,4,high,unacceptable,
vhigh,vhigh,2,small,5more,low,unacceptable,
vhigh,vhigh,2,small,5more,med,unacceptable,
vhigh,vhigh,2,small,5more,high,unacceptable,
vhigh,vhigh,2,med,5more,low,unacceptable,
vhigh,vhigh,2,med,5more,med,unacceptable,
vhigh,vhigh,2,med,5more,high,unacceptable,
vhigh,vhigh,2,big,5more,low,unacceptable,
vhigh,vhigh,2,big,5more,med,unacceptable,
vhigh,vhigh,2,big,5more,high,unacceptable,
vhigh,vhigh,4,small,5more,low,unacceptable,
vhigh,vhigh,4,small,5more,med,unacceptable,
vhigh,vhigh,4,small,5more,high,unacceptable,
vhigh,vhigh,4,med,5more,low,unacceptable,
vhigh,vhigh,4,med,5more,med,unacceptable,
vhigh,vhigh,4,med,5more,high,unacceptable,
vhigh,vhigh,4,big,5more,low,unacceptable,
vhigh,vhigh,4,big,5more,med,unacceptable,
vhigh,vhigh,4,big,5more,high,unacceptable,
vhigh,vhigh,more,small,5more,low,unacceptable,
vhigh,vhigh,more,small,5more,med,unacceptable,
vhigh,vhigh,more,small,5more,high,unacceptable,
vhigh,vhigh,more,med,5more,low,unacceptable,
vhigh,vhigh,more,med,5more,med,unacceptable,
vhigh,vhigh,more,med,5more,high,unacceptable,
vhigh,vhigh,more,big,5more,low,unacceptable,
vhigh,vhigh,more,big,5more,med,unacceptable,
vhigh,vhigh,more,big,5more,high,unacceptable,
vhigh,high,2,small,2,low,unacceptable,
vhigh,high,2,small,2,med,unacceptable,
vhigh,high,2,small,2,high,unacceptable,
vhigh,high,2,med,2,low,unacceptable,
vhigh,high,2,med,2,med,unacceptable,
vhigh,high,2,med,2,high,unacceptable,
vhigh,high,2,big,2,low,unacceptable,
vhigh,high,2,big,2,med,unacceptable,
vhigh,high,2,big,2,high,unacceptable,
vhigh,high,4,small,2,low,unacceptable,
vhigh,high,4,small,2,med,unacceptable,
vhigh,high,4,small,2,high,unacceptable,
vhigh,high,4,med,2,low,unacceptable,
vhigh,high,4,med,2,med,unacceptable,
vhigh,high,4,med,2,high,unacceptable,
vhigh,high,4,big,2,low,unacceptable,
vhigh,high,4,big,2,med,unacceptable,
vhigh,high,4,big,2,high,unacceptable,
vhigh,high,more,small,2,low,unacceptable,
vhigh,high,more,small,2,med,unacceptable,
vhigh,high,more,small,2,high,unacceptable,
vhigh,high,more,med,2,low,unacceptable,
vhigh,high,more,med,2,med,unacceptable,
vhigh,high,more,med,2,high,unacceptable,
vhigh,high,more,big,2,low,unacceptable,
vhigh,high,more,big,2,med,unacceptable,
vhigh,high,more,big,2,high,unacceptable,
vhigh,high,2,small,3,low,unacceptable,
vhigh,high,2,small,3,med,unacceptable,
vhigh,high,2,small,3,high,unacceptable,
vhigh,high,2,med,3,low,unacceptable,
vhigh,high,2,med,3,med,unacceptable,
vhigh,high,2,med,3,high,unacceptable,
vhigh,high,2,big,3,low,unacceptable,
vhigh,high,2,big,3,med,unacceptable,
vhigh,high,2,big,3,high,unacceptable,
vhigh,high,4,small,3,low,unacceptable,
vhigh,high,4,small,3,med,unacceptable,
vhigh,high,4,small,3,high,unacceptable,
vhigh,high,4,med,3,low,unacceptable,
vhigh,high,4,med,3,med,unacceptable,
vhigh,high,4,med,3,high,unacceptable,
vhigh,high,4,big,3,low,unacceptable,
vhigh,high,4,big,3,med,unacceptable,
vhigh,high,4,big,3,high,unacceptable,
vhigh,high,more,small,3,low,unacceptable,
vhigh,high,more,small,3,med,unacceptable,
vhigh,high,more,small,3,high,unacceptable,
vhigh,high,more,med,3,low,unacceptable,
vhigh,high,more,med,3,med,unacceptable,
vhigh,high,more,med,3,high,unacceptable,
vhigh,high,more,big,3,low,unacceptable,
vhigh,high,more,big,3,med,unacceptable,
vhigh,high,more,big,3,high,unacceptable,
vhigh,high,2,small,4,low,unacceptable,
vhigh,high,2,small,4,med,unacceptable,
vhigh,high,2,small,4,high,unacceptable,
vhigh,high,2,med,4,low,unacceptable,
vhigh,high,2,med,4,med,unacceptable,
vhigh,high,2,med,4,high,unacceptable,
vhigh,high,2,big,4,low,unacceptable,
vhigh,high,2,big,4,med,unacceptable,
vhigh,high,2,big,4,high,unacceptable,
vhigh,high,4,small,4,low,unacceptable,
vhigh,high,4,small,4,med,unacceptable,
vhigh,high,4,small,4,high,unacceptable,
vhigh,high,4,med,4,low,unacceptable,
vhigh,high,4,med,4,med,unacceptable,
vhigh,high,4,med,4,high,unacceptable,
vhigh,high,4,big,4,low,unacceptable,
vhigh,high,4,big,4,med,unacceptable,
vhigh,high,4,big,4,high,unacceptable,
vhigh,high,more,small,4,low,unacceptable,
vhigh,high,more,small,4,med,unacceptable,
vhigh,high,more,small,4,high,unacceptable,
vhigh,high,more,med,4,low,unacceptable,
vhigh,high,more,med,4,med,unacceptable,
vhigh,high,more,med,4,high,unacceptable,
vhigh,high,more,big,4,low,unacceptable,
vhigh,high,more,big,4,med,unacceptable,
vhigh,high,more,big,4,high,unacceptable,
vhigh,high,2,small,5more,low,unacceptable,
vhigh,high,2,small,5more,med,unacceptable,
vhigh,high,2,small,5more,high,unacceptable,
vhigh,high,2,med,5more,low,unacceptable,
vhigh,high,2,med,5more,med,unacceptable,
vhigh,high,2,med,5more,high,unacceptable,
vhigh,high,2,big,5more,low,unacceptable,
vhigh,high,2,big,5more,med,unacceptable,
vhigh,high,2,big,5more,high,unacceptable,
vhigh,high,4,small,5more,low,unacceptable,
vhigh,high,4,small,5more,med,unacceptable,
vhigh,high,4,small,5more,high,unacceptable,
vhigh,high,4,med,5more,low,unacceptable,
vhigh,high,4,med,5more,med,unacceptable,
vhigh,high,4,med,5more,high,unacceptable,
vhigh,high,4,big,5more,low,unacceptable,
vhigh,high,4,big,5more,med,unacceptable,
vhigh,high,4,big,5more,high,unacceptable,
vhigh,high,more,small,5more,low,unacceptable,
vhigh,high,more,small,5more,med,unacceptable,
vhigh,high,more,small,5more,high,unacceptable,
vhigh,high,more,med,5more,low,unacceptable,
vhigh,high,more,med,5more,med,unacceptable,
vhigh,high,more,med,5more,high,unacceptable,
vhigh,high,more,big,5more,low,unacceptable,
vhigh,high,more,big,5more,med,unacceptable,
vhigh,high,more,big,5more,high,unacceptable,
vhigh,med,2,small,2,low,unacceptable,
vhigh,med,2,small,2,med,unacceptable,
vhigh,med,2,small,2,high,unacceptable,
vhigh,med,2,med,2,low,unacceptable,
vhigh,med,2,med,2,med,unacceptable,
vhigh,med,2,med,2,high,unacceptable,
vhigh,med,2,big,2,low,unacceptable,
vhigh,med,2,big,2,med,unacceptable,
vhigh,med,2,big,2,high,unacceptable,
vhigh,med,4,small,2,low,unacceptable,
vhigh,med,4,small,2,med,unacceptable,
vhigh,med,4,small,2,high,acceptable,
vhigh,med,4,med,2,low,unacceptable,
vhigh,med,4,med,2,med,unacceptable,
vhigh,med,4,med,2,high,acceptable,
vhigh,med,4,big,2,low,unacceptable,
vhigh,med,4,big,2,med,acceptable,
vhigh,med,4,big,2,high,acceptable,
vhigh,med,more,small,2,low,unacceptable,
vhigh,med,more,small,2,med,unacceptable,
vhigh,med,more,small,2,high,unacceptable,
vhigh,med,more,med,2,low,unacceptable,
vhigh,med,more,med,2,med,unacceptable,
vhigh,med,more,med,2,high,acceptable,
vhigh,med,more,big,2,low,unacceptable,
vhigh,med,more,big,2,med,acceptable,
vhigh,med,more,big,2,high,acceptable,
vhigh,med,2,small,3,low,unacceptable,
vhigh,med,2,small,3,med,unacceptable,
vhigh,med,2,small,3,high,unacceptable,
vhigh,med,2,med,3,low,unacceptable,
vhigh,med,2,med,3,med,unacceptable,
vhigh,med,2,med,3,high,unacceptable,
vhigh,med,2,big,3,low,unacceptable,
vhigh,med,2,big,3,med,unacceptable,
vhigh,med,2,big,3,high,unacceptable,
vhigh,med,4,small,3,low,unacceptable,
vhigh,med,4,small,3,med,unacceptable,
vhigh,med,4,small,3,high,acceptable,
vhigh,med,4,med,3,low,unacceptable,
vhigh,med,4,med,3,med,unacceptable,
vhigh,med,4,med,3,high,acceptable,
vhigh,med,4,big,3,low,unacceptable,
vhigh,med,4,big,3,med,acceptable,
vhigh,med,4,big,3,high,acceptable,
vhigh,med,more,small,3,low,unacceptable,
vhigh,med,more,small,3,med,unacceptable,
vhigh,med,more,small,3,high,acceptable,
vhigh,med,more,med,3,low,unacceptable,
vhigh,med,more,med,3,med,acceptable,
vhigh,med,more,med,3,high,acceptable,
vhigh,med,more,big,3,low,unacceptable,
vhigh,med,more,big,3,med,acceptable,
vhigh,med,more,big,3,high,acceptable,
vhigh,med,2,small,4,low,unacceptable,
vhigh,med,2,small,4,med,unacceptable,
vhigh,med,2,small,4,high,unacceptable,
vhigh,med,2,med,4,low,unacceptable,
vhigh,med,2,med,4,med,unacceptable,
vhigh,med,2,med,4,high,unacceptable,
vhigh,med,2,big,4,low,unacceptable,
vhigh,med,2,big,4,med,unacceptable,
vhigh,med,2,big,4,high,unacceptable,
vhigh,med,4,small,4,low,unacceptable,
vhigh,med,4,small,4,med,unacceptable,
vhigh,med,4,small,4,high,acceptable,
vhigh,med,4,med,4,low,unacceptable,
vhigh,med,4,med,4,med,acceptable,
vhigh,med,4,med,4,high,acceptable,
vhigh,med,4,big,4,low,unacceptable,
vhigh,med,4,big,4,med,acceptable,
vhigh,med,4,big,4,high,acceptable,
vhigh,med,more,small,4,low,unacceptable,
vhigh,med,more,small,4,med,unacceptable,
vhigh,med,more,small,4,high,acceptable,
vhigh,med,more,med,4,low,unacceptable,
vhigh,med,more,med,4,med,acceptable,
vhigh,med,more,med,4,high,acceptable,
vhigh,med,more,big,4,low,unacceptable,
vhigh,med,more,big,4,med,acceptable,
vhigh,med,more,big,4,high,acceptable,
vhigh,med,2,small,5more,low,unacceptable,
vhigh,med,2,small,5more,med,unacceptable,
vhigh,med,2,small,5more,high,unacceptable,
vhigh,med,2,med,5more,low,unacceptable,
vhigh,med,2,med,5more,med,unacceptable,
vhigh,med,2,med,5more,high,unacceptable,
vhigh,med,2,big,5more,low,unacceptable,
vhigh,med,2,big,5more,med,unacceptable,
vhigh,med,2,big,5more,high,unacceptable,
vhigh,med,4,small,5more,low,unacceptable,
vhigh,med,4,small,5more,med,unacceptable,
vhigh,med,4,small,5more,high,acceptable,
vhigh,med,4,med,5more,low,unacceptable,
vhigh,med,4,med,5more,med,acceptable,
vhigh,med,4,med,5more,high,acceptable,
vhigh,med,4,big,5more,low,unacceptable,
vhigh,med,4,big,5more,med,acceptable,
vhigh,med,4,big,5more,high,acceptable,
vhigh,med,more,small,5more,low,unacceptable,
vhigh,med,more,small,5more,med,unacceptable,
vhigh,med,more,small,5more,high,acceptable,
vhigh,med,more,med,5more,low,unacceptable,
vhigh,med,more,med,5more,med,acceptable,
vhigh,med,more,med,5more,high,acceptable,
vhigh,med,more,big,5more,low,unacceptable,
vhigh,med,more,big,5more,med,acceptable,
vhigh,med,more,big,5more,high,acceptable,
vhigh,low,2,small,2,low,unacceptable,
vhigh,low,2,small,2,med,unacceptable,
vhigh,low,2,small,2,high,unacceptable,
vhigh,low,2,med,2,low,unacceptable,
vhigh,low,2,med,2,med,unacceptable,
vhigh,low,2,med,2,high,unacceptable,
vhigh,low,2,big,2,low,unacceptable,
vhigh,low,2,big,2,med,unacceptable,
vhigh,low,2,big,2,high,unacceptable,
vhigh,low,4,small,2,low,unacceptable,
vhigh,low,4,small,2,med,unacceptable,
vhigh,low,4,small,2,high,acceptable,
vhigh,low,4,med,2,low,unacceptable,
vhigh,low,4,med,2,med,unacceptable,
vhigh,low,4,med,2,high,acceptable,
vhigh,low,4,big,2,low,unacceptable,
vhigh,low,4,big,2,med,acceptable,
vhigh,low,4,big,2,high,acceptable,
vhigh,low,more,small,2,low,unacceptable,
vhigh,low,more,small,2,med,unacceptable,
vhigh,low,more,small,2,high,unacceptable,
vhigh,low,more,med,2,low,unacceptable,
vhigh,low,more,med,2,med,unacceptable,
vhigh,low,more,med,2,high,acceptable,
vhigh,low,more,big,2,low,unacceptable,
vhigh,low,more,big,2,med,acceptable,
vhigh,low,more,big,2,high,acceptable,
vhigh,low,2,small,3,low,unacceptable,
vhigh,low,2,small,3,med,unacceptable,
vhigh,low,2,small,3,high,unacceptable,
vhigh,low,2,med,3,low,unacceptable,
vhigh,low,2,med,3,med,unacceptable,
vhigh,low,2,med,3,high,unacceptable,
vhigh,low,2,big,3,low,unacceptable,
vhigh,low,2,big,3,med,unacceptable,
vhigh,low,2,big,3,high,unacceptable,
vhigh,low,4,small,3,low,unacceptable,
vhigh,low,4,small,3,med,unacceptable,
vhigh,low,4,small,3,high,acceptable,
vhigh,low,4,med,3,low,unacceptable,
vhigh,low,4,med,3,med,unacceptable,
vhigh,low,4,med,3,high,acceptable,
vhigh,low,4,big,3,low,unacceptable,
vhigh,low,4,big,3,med,acceptable,
vhigh,low,4,big,3,high,acceptable,
vhigh,low,more,small,3,low,unacceptable,
vhigh,low,more,small,3,med,unacceptable,
vhigh,low,more,small,3,high,acceptable,
vhigh,low,more,med,3,low,unacceptable,
vhigh,low,more,med,3,med,acceptable,
vhigh,low,more,med,3,high,acceptable,
vhigh,low,more,big,3,low,unacceptable,
vhigh,low,more,big,3,med,acceptable,
vhigh,low,more,big,3,high,acceptable,
vhigh,low,2,small,4,low,unacceptable,
vhigh,low,2,small,4,med,unacceptable,
vhigh,low,2,small,4,high,unacceptable,
vhigh,low,2,med,4,low,unacceptable,
vhigh,low,2,med,4,med,unacceptable,
vhigh,low,2,med,4,high,unacceptable,
vhigh,low,2,big,4,low,unacceptable,
vhigh,low,2,big,4,med,unacceptable,
vhigh,low,2,big,4,high,unacceptable,
vhigh,low,4,small,4,low,unacceptable,
vhigh,low,4,small,4,med,unacceptable,
vhigh,low,4,small,4,high,acceptable,
vhigh,low,4,med,4,low,unacceptable,
vhigh,low,4,med,4,med,acceptable,
vhigh,low,4,med,4,high,acceptable,
vhigh,low,4,big,4,low,unacceptable,
vhigh,low,4,big,4,med,acceptable,
vhigh,low,4,big,4,high,acceptable,
vhigh,low,more,small,4,low,unacceptable,
vhigh,low,more,small,4,med,unacceptable,
vhigh,low,more,small,4,high,acceptable,
vhigh,low,more,med,4,low,unacceptable,
vhigh,low,more,med,4,med,acceptable,
vhigh,low,more,med,4,high,acceptable,
vhigh,low,more,big,4,low,unacceptable,
vhigh,low,more,big,4,med,acceptable,
vhigh,low,more,big,4,high,acceptable,
vhigh,low,2,small,5more,low,unacceptable,
vhigh,low,2,small,5more,med,unacceptable,
vhigh,low,2,small,5more,high,unacceptable,
vhigh,low,2,med,5more,low,unacceptable,
vhigh,low,2,med,5more,med,unacceptable,
vhigh,low,2,med,5more,high,unacceptable,
vhigh,low,2,big,5more,low,unacceptable,
vhigh,low,2,big,5more,med,unacceptable,
vhigh,low,2,big,5more,high,unacceptable,
vhigh,low,4,small,5more,low,unacceptable,
vhigh,low,4,small,5more,med,unacceptable,
vhigh,low,4,small,5more,high,acceptable,
vhigh,low,4,med,5more,low,unacceptable,
vhigh,low,4,med,5more,med,acceptable,
vhigh,low,4,med,5more,high,acceptable,
vhigh,low,4,big,5more,low,unacceptable,
vhigh,low,4,big,5more,med,acceptable,
vhigh,low,4,big,5more,high,acceptable,
vhigh,low,more,small,5more,low,unacceptable,
vhigh,low,more,small,5more,med,unacceptable,
vhigh,low,more,small,5more,high,acceptable,
vhigh,low,more,med,5more,low,unacceptable,
vhigh,low,more,med,5more,med,acceptable,
vhigh,low,more,med,5more,high,acceptable,
vhigh,low,more,big,5more,low,unacceptable,
vhigh,low,more,big,5more,med,acceptable,
vhigh,low,more,big,5more,high,acceptable,
high,vhigh,2,small,2,low,unacceptable,
high,vhigh,2,small,2,med,unacceptable,
high,vhigh,2,small,2,high,unacceptable,
high,vhigh,2,med,2,low,unacceptable,
high,vhigh,2,med,2,med,unacceptable,
high,vhigh,2,med,2,high,unacceptable,
high,vhigh,2,big,2,low,unacceptable,
high,vhigh,2,big,2,med,unacceptable,
high,vhigh,2,big,2,high,unacceptable,
high,vhigh,4,small,2,low,unacceptable,
high,vhigh,4,small,2,med,unacceptable,
high,vhigh,4,small,2,high,unacceptable,
high,vhigh,4,med,2,low,unacceptable,
high,vhigh,4,med,2,med,unacceptable,
high,vhigh,4,med,2,high,unacceptable,
high,vhigh,4,big,2,low,unacceptable,
high,vhigh,4,big,2,med,unacceptable,
high,vhigh,4,big,2,high,unacceptable,
high,vhigh,more,small,2,low,unacceptable,
high,vhigh,more,small,2,med,unacceptable,
high,vhigh,more,small,2,high,unacceptable,
high,vhigh,more,med,2,low,unacceptable,
high,vhigh,more,med,2,med,unacceptable,
high,vhigh,more,med,2,high,unacceptable,
high,vhigh,more,big,2,low,unacceptable,
high,vhigh,more,big,2,med,unacceptable,
high,vhigh,more,big,2,high,unacceptable,
high,vhigh,2,small,3,low,unacceptable,
high,vhigh,2,small,3,med,unacceptable,
high,vhigh,2,small,3,high,unacceptable,
high,vhigh,2,med,3,low,unacceptable,
high,vhigh,2,med,3,med,unacceptable,
high,vhigh,2,med,3,high,unacceptable,
high,vhigh,2,big,3,low,unacceptable,
high,vhigh,2,big,3,med,unacceptable,
high,vhigh,2,big,3,high,unacceptable,
high,vhigh,4,small,3,low,unacceptable,
high,vhigh,4,small,3,med,unacceptable,
high,vhigh,4,small,3,high,unacceptable,
high,vhigh,4,med,3,low,unacceptable,
high,vhigh,4,med,3,med,unacceptable,
high,vhigh,4,med,3,high,unacceptable,
high,vhigh,4,big,3,low,unacceptable,
high,vhigh,4,big,3,med,unacceptable,
high,vhigh,4,big,3,high,unacceptable,
high,vhigh,more,small,3,low,unacceptable,
high,vhigh,more,small,3,med,unacceptable,
high,vhigh,more,small,3,high,unacceptable,
high,vhigh,more,med,3,low,unacceptable,
high,vhigh,more,med,3,med,unacceptable,
high,vhigh,more,med,3,high,unacceptable,
high,vhigh,more,big,3,low,unacceptable,
high,vhigh,more,big,3,med,unacceptable,
high,vhigh,more,big,3,high,unacceptable,
high,vhigh,2,small,4,low,unacceptable,
high,vhigh,2,small,4,med,unacceptable,
high,vhigh,2,small,4,high,unacceptable,
high,vhigh,2,med,4,low,unacceptable,
high,vhigh,2,med,4,med,unacceptable,
high,vhigh,2,med,4,high,unacceptable,
high,vhigh,2,big,4,low,unacceptable,
high,vhigh,2,big,4,med,unacceptable,
high,vhigh,2,big,4,high,unacceptable,
high,vhigh,4,small,4,low,unacceptable,
high,vhigh,4,small,4,med,unacceptable,
high,vhigh,4,small,4,high,unacceptable,
high,vhigh,4,med,4,low,unacceptable,
high,vhigh,4,med,4,med,unacceptable,
high,vhigh,4,med,4,high,unacceptable,
high,vhigh,4,big,4,low,unacceptable,
high,vhigh,4,big,4,med,unacceptable,
high,vhigh,4,big,4,high,unacceptable,
high,vhigh,more,small,4,low,unacceptable,
high,vhigh,more,small,4,med,unacceptable,
high,vhigh,more,small,4,high,unacceptable,
high,vhigh,more,med,4,low,unacceptable,
high,vhigh,more,med,4,med,unacceptable,
high,vhigh,more,med,4,high,unacceptable,
high,vhigh,more,big,4,low,unacceptable,
high,vhigh,more,big,4,med,unacceptable,
high,vhigh,more,big,4,high,unacceptable,
high,vhigh,2,small,5more,low,unacceptable,
high,vhigh,2,small,5more,med,unacceptable,
high,vhigh,2,small,5more,high,unacceptable,
high,vhigh,2,med,5more,low,unacceptable,
high,vhigh,2,med,5more,med,unacceptable,
high,vhigh,2,med,5more,high,unacceptable,
high,vhigh,2,big,5more,low,unacceptable,
high,vhigh,2,big,5more,med,unacceptable,
high,vhigh,2,big,5more,high,unacceptable,
high,vhigh,4,small,5more,low,unacceptable,
high,vhigh,4,small,5more,med,unacceptable,
high,vhigh,4,small,5more,high,unacceptable,
high,vhigh,4,med,5more,low,unacceptable,
high,vhigh,4,med,5more,med,unacceptable,
high,vhigh,4,med,5more,high,unacceptable,
high,vhigh,4,big,5more,low,unacceptable,
high,vhigh,4,big,5more,med,unacceptable,
high,vhigh,4,big,5more,high,unacceptable,
high,vhigh,more,small,5more,low,unacceptable,
high,vhigh,more,small,5more,med,unacceptable,
high,vhigh,more,small,5more,high,unacceptable,
high,vhigh,more,med,5more,low,unacceptable,
high,vhigh,more,med,5more,med,unacceptable,
high,vhigh,more,med,5more,high,unacceptable,
high,vhigh,more,big,5more,low,unacceptable,
high,vhigh,more,big,5more,med,unacceptable,
high,vhigh,more,big,5more,high,unacceptable,
high,high,2,small,2,low,unacceptable,
high,high,2,small,2,med,unacceptable,
high,high,2,small,2,high,unacceptable,
high,high,2,med,2,low,unacceptable,
high,high,2,med,2,med,unacceptable,
high,high,2,med,2,high,unacceptable,
